linux file open
14,11,-1
13,14,-1
17,18,-1
22,19,-1
21,22,-1
25,26,-1
25,19,-1
24,25,-1
27,26,-1
27,24,-1
24,27,-1
28,26,-1
32,33,-1
32,34,-1
31,32,-1
30,31,-1
30,35,-1
30,36,-1
29,30,-1
28,29,-1
24,28,-1
37,26,-1
41,42,-1
41,34,-1
40,41,-1
39,40,-1
39,43,-1
39,44,-1
38,39,-1
37,38,-1
24,37,-1
23,24,-1
21,23,-1
45,29,-1
21,45,-1
46,38,-1
21,46,-1
47,31,-1
49,35,-1
48,49,-1
47,48,-1
21,47,-1
20,21,-1
20,50,-1
56,53,-1
55,56,-1
59,60,-1
59,19,-1
58,59,-1
61,60,-1
61,24,-1
58,61,-1
62,60,-1
62,29,-1
58,62,-1
63,60,-1
63,38,-1
58,63,-1
57,58,-1
65,66,-1
64,65,-1
57,64,-1
55,57,-1
54,55,-1
54,67,-1
54,51,-1
53,54,-1
52,53,-1
52,67,-1
51,52,-1
68,24,-1
68,50,-1
51,68,-1
69,11,-1
69,70,-1
51,69,-1
71,53,-1
71,67,-1
51,71,-1
72,19,-1
72,50,-1
51,72,-1
73,11,-1
73,70,-1
51,73,-1
20,51,-1
19,20,-1
17,19,-1
16,17,-1
74,18,-1
74,24,-1
16,74,-1
75,18,-1
75,29,-1
16,75,-1
76,18,-1
76,38,-1
16,76,-1
15,16,-1
78,79,-1
77,78,-1
15,77,-1
13,15,-1
12,13,-1
12,70,-1
12,51,-1
11,12,-1
10,11,-1
10,80,-1
10,81,-1
10,11,-1
10,82,-1
9,10,-1
8,9,-1
8,83,-1
7,8,-1
6,7,-1
6,84,-1
5,6,-1
4,5,-1
94,53,-1
94,95,-1
94,96,-1
94,97,-1
93,94,-1
92,93,-1
92,96,-1
91,92,-1
90,91,-1
90,98,-1
89,90,-1
88,89,-1
88,5,-1
88,99,-1
87,88,-1
86,87,-1
101,102,-1
104,53,-1
104,105,-1
103,104,-1
101,103,-1
101,5,-1
100,101,-1
86,100,-1
86,106,-1
108,109,-1
108,89,-1
108,99,-1
108,103,-1
108,5,-1
107,108,-1
86,107,-1
86,110,-1
85,86,-1
4,85,-1
4,111,-1
3,4,-1
2,3,-1
2,110,-1
1,2,-1
